match_number,date,home_team,away_team,stadium,result,season,time,home_result,away_result,winner,home_sets_won,away_sets_won,number_of_sets,home_game_won,away_game_won,home_sets_lost,away_sets_lost
134681,11-12-22,Amager VK.2,Frederiksberg Volley,Sundbyhal 2                ,3 - 2,2022-2023,12:00,3,2,Amager VK.2,3,2,5,1,0,2,3
134677,11-12-22,VLI,Gentofte Volley.2,Kedelhallen                ,3 - 1,2022-2023,13:30,3,1,VLI,3,1,4,1,0,1,3
134679,11-12-22,Grøndal EV,DTU Volley,Hillerødgades Sportssal                ,3 - 2,2022-2023,15:00,3,2,Grøndal EV,3,2,5,1,0,2,3
134683,14-01-23,DTU Volley,VK Holbæk,Engelsborghallen                ,2 - 3,2022-2023,16:30,2,3,VK Holbæk,2,3,5,0,1,3,2
134686,14-01-23,Hvidovre VK.2,Farum-Holte,Frihedens Idrætscenter                ,0 - 3,2022-2023,17:00,0,3,Farum-Holte,0,3,3,0,1,3,0
134682,15-01-23,Gentofte Volley.2,Frederiksberg Volley,Kildeskovshal                 ,0 - 3,2022-2023,12:00,0,3,Frederiksberg Volley,0,3,3,0,1,3,0
134685,15-01-23,Grøndal EV,Amager VK.2,Hillerødgades Sportssal                ,2 - 3,2022-2023,13:00,2,3,Amager VK.2,2,3,5,0,1,3,2
134688,21-01-23,VK Holbæk,Hvidovre VK.2,Bjergmarkshallen                ,1 - 3,2022-2023,12:00,1,3,Hvidovre VK.2,1,3,4,0,1,3,1
134690,21-01-23,Farum-Holte,Frederiksberg Volley,Ny Holtehal                ,3 - 2,2022-2023,17:00,3,2,Farum-Holte,3,2,5,1,0,2,3
134687,22-01-23,Gentofte Volley.2,DTU Volley,Kildeskovshal                 ,3 - 1,2022-2023,12:00,3,1,Gentofte Volley.2,3,1,4,1,0,1,3
134689,22-01-23,VLI,Amager VK.2,Kedelhallen                ,3 - 1,2022-2023,13:30,3,1,VLI,3,1,4,1,0,1,3
134691,22-01-23,KSV,Grøndal EV,Hillerødgades Sportssal                ,1 - 3,2022-2023,16:00,1,3,Grøndal EV,1,3,4,0,1,3,1
134692,28-01-23,Hvidovre VK.2,Gentofte Volley.2,Frihedens Idrætscenter                ,2 - 3,2022-2023,17:00,2,3,Gentofte Volley.2,2,3,5,0,1,3,2
134695,29-01-23,Amager VK.2,KSV,Sundbyhal 2                ,3 - 0,2022-2023,12:00,3,0,Amager VK.2,3,0,3,1,0,0,3
134696,29-01-23,Frederiksberg Volley,Grøndal EV,Bülowsvejhallen                ,3 - 1,2022-2023,12:00,3,1,Frederiksberg Volley,3,1,4,1,0,1,3
134693,29-01-23,VLI,VK Holbæk,Kedelhallen                ,3 - 0,2022-2023,13:30,3,0,VLI,3,0,3,1,0,0,3
134694,29-01-23,Farum-Holte,DTU Volley,Ny Holtehal                ,3 - 0,2022-2023,18:00,3,0,Farum-Holte,3,0,3,1,0,0,3
134701,05-02-23,KSV,Frederiksberg Volley,Hillerødgades Sportssal                ,0 - 3,2022-2023,12:00,0,3,Frederiksberg Volley,0,3,3,0,1,3,0
134700,05-02-23,Amager VK.2,Farum-Holte,Sundbyhal 2                ,3 - 0,2022-2023,14:00,3,0,Amager VK.2,3,0,3,1,0,0,3
134699,09-02-23,Grøndal EV,Hvidovre VK.2,Hillerødgades Sportssal                ,1 - 3,2022-2023,18:45,1,3,Hvidovre VK.2,1,3,4,0,1,3,1
134698,11-02-23,DTU Volley,VLI,Engelsborghallen                ,1 - 3,2022-2023,14:30,1,3,VLI,1,3,4,0,1,3,1
134680,12-02-23,KSV,Hvidovre VK.2,Hillerødgades Sportssal                ,1 - 3,2022-2023,12:00,1,3,Hvidovre VK.2,1,3,4,0,1,3,1
134704,22-02-23,Hvidovre VK.2,DTU Volley,Frihedens Idrætscenter                ,3 - 2,2022-2023,20:00,3,2,Hvidovre VK.2,3,2,5,1,0,2,3
134705,22-02-23,VLI,Grøndal EV,Kedelhallen                ,3 - 1,2022-2023,20:30,3,1,VLI,3,1,4,1,0,1,3
134702,24-02-23,Gentofte Volley.2,Amager VK.2,Kildeskovshal                 ,3 - 1,2022-2023,20:00,3,1,Gentofte Volley.2,3,1,4,1,0,1,3
134703,25-02-23,VK Holbæk,Frederiksberg Volley,Bjergmarkshallen                ,0 - 3,2022-2023,10:00,0,3,Frederiksberg Volley,0,3,3,0,1,3,0
134706,25-02-23,Farum-Holte,KSV,Ny Holtehal                ,3 - 0,2022-2023,17:00,3,0,Farum-Holte,3,0,3,1,0,0,3
134697,27-02-23,VK Holbæk,Gentofte Volley.2,Bjergmarkshallen                ,1 - 3,2022-2023,20:00,1,3,Gentofte Volley.2,1,3,4,0,1,3,1
134708,05-03-23,Amager VK.2,VK Holbæk,Sundbyhal 2                ,3 - 1,2022-2023,12:00,3,1,Amager VK.2,3,1,4,1,0,1,3
