GAME1: Kildeskovshallen-Gentofte Volley.2-2025-Feb-04 (25 - 19)
PLAYER_NUM,PLAYER_NAME,GAMES_PLAYED,POINTS_SCORED_ON_SERVE,PT_SCORE_PERCENT,ACES,SERVE_ERRORS,SERVE_ERROR_PERCENT,SERVE_NET_POINTS,PASS_RATING,PASS_ATTEMPTS,SERVE_RCV_ERRORS,COMBINED_KILLS,COMBINED_KILL_ERRORS,ATTACK_NET_POINTS,HITTING_EFFICIENCY,COMBINED_KILL_PERCENT,HITS_STILL_IN_PLAY,COMBINED_KILL_ATTEMPTS,ASSISTS,BALL_HANDLING,SETTING_ERRORS,BLOCKS,BLOCK_ERRORS,NET_BLOCKS,DIG_ERRORS,DIGS,DIG_ERROR_PERCENT,FAULTS
,(team),5,0,,0,0,,0,0.00,1,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0

GAME1: Bulowsvejshallen-KV61-2025-Feb-03 (25 - 19)
PLAYER_NUM,PLAYER_NAME,GAMES_PLAYED,POINTS_SCORED_ON_SERVE,PT_SCORE_PERCENT,ACES,SERVE_ERRORS,SERVE_ERROR_PERCENT,SERVE_NET_POINTS,PASS_RATING,PASS_ATTEMPTS,SERVE_RCV_ERRORS,COMBINED_KILLS,COMBINED_KILL_ERRORS,ATTACK_NET_POINTS,HITTING_EFFICIENCY,COMBINED_KILL_PERCENT,HITS_STILL_IN_PLAY,COMBINED_KILL_ATTEMPTS,ASSISTS,BALL_HANDLING,SETTING_ERRORS,BLOCKS,BLOCK_ERRORS,NET_BLOCKS,DIG_ERRORS,DIGS,DIG_ERROR_PERCENT,FAULTS
1,Lasse Nielsen,1,0,0.0%,0,1,100.0%,-1,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0
6,Boerme,1,1,33.3%,0,2,66.7%,-2,2.33,3,0,3,3,0,0.000,30.0%,4,10,0,0,0,0,0,0,0,0,,0
7,Bo,1,4,66.7%,1,1,16.7%,0,,0,0,0,2,-2,-0.500,0.0%,2,4,1,0,0,0,1,-1,0,0,,0
9,Soeren,1,0,0.0%,0,0,0.0%,0,,0,0,0,0,0,0.000,0.0%,2,2,0,0,0,0,0,0,0,3,0.0%,0
12,Vestbjerg,1,1,33.3%,0,0,0.0%,0,1.13,4,1,0,0,0,0.000,0.0%,4,4,0,0,0,0,0,0,1,1,50.0%,0
13,Gustav,1,3,75.0%,0,0,0.0%,0,1.00,1,0,2,0,2,1.000,100.0%,0,2,0,0,0,1,0,1,0,1,0.0%,0
14,Mads Q,1,4,66.7%,0,0,0.0%,0,,0,0,0,0,0,,,0,0,5,0,0,0,1,-1,1,1,50.0%,0
15,Martin,1,0,,0,0,,0,,0,0,1,0,1,0.500,50.0%,1,2,0,0,0,1,1,0,0,0,,0
16,Alex,1,0,,0,0,,0,1.25,4,1,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0.0%,0
,(team),1,0,,0,0,,0,0.00,2,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0

GAME2: Bulowsvejshallen-KV61-2025-Feb-03 (25 - 22)
PLAYER_NUM,PLAYER_NAME,GAMES_PLAYED,POINTS_SCORED_ON_SERVE,PT_SCORE_PERCENT,ACES,SERVE_ERRORS,SERVE_ERROR_PERCENT,SERVE_NET_POINTS,PASS_RATING,PASS_ATTEMPTS,SERVE_RCV_ERRORS,COMBINED_KILLS,COMBINED_KILL_ERRORS,ATTACK_NET_POINTS,HITTING_EFFICIENCY,COMBINED_KILL_PERCENT,HITS_STILL_IN_PLAY,COMBINED_KILL_ATTEMPTS,ASSISTS,BALL_HANDLING,SETTING_ERRORS,BLOCKS,BLOCK_ERRORS,NET_BLOCKS,DIG_ERRORS,DIGS,DIG_ERROR_PERCENT,FAULTS
1,Lasse Nielsen,1,2,40.0%,0,0,0.0%,0,,0,0,0,0,0,,,0,0,11,0,0,0,0,0,0,6,0.0%,0
3,Kristian Krag,1,1,33.3%,0,0,0.0%,0,1.00,1,0,1,0,1,0.500,50.0%,1,2,0,0,0,0,1,-1,0,1,0.0%,0
9,Soeren,1,1,100.0%,0,0,0.0%,0,,0,0,1,0,1,1.000,100.0%,0,1,0,0,0,0,1,-1,0,0,,0
10,Frederik,1,6,75.0%,1,0,0.0%,1,1.14,7,2,1,1,0,0.000,25.0%,2,4,0,0,0,0,0,0,0,2,0.0%,1
12,Vestbjerg,1,0,0.0%,0,0,0.0%,0,1.43,7,1,4,0,4,0.571,57.1%,3,7,1,0,0,0,1,-1,0,1,0.0%,0
13,Gustav,1,2,50.0%,1,0,0.0%,1,,0,0,0,0,0,0.000,0.0%,1,1,0,1,0,1,0,1,1,0,100.0%,1
14,Mads Q,1,0,0.0%,0,0,0.0%,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,100.0%,0
15,Martin,1,0,0.0%,0,1,100.0%,-1,,0,0,6,3,3,0.250,50.0%,3,12,0,0,0,3,0,3,0,1,0.0%,1
16,Alex,1,0,,0,0,,0,2.00,3,0,0,0,0,,,0,0,1,0,0,0,0,0,3,2,60.0%,0
,(team),1,0,,0,0,,0,,0,0,1,0,1,1.000,100.0%,0,1,0,0,0,0,0,0,0,0,,0

GAME3: Bulowsvejshallen-KV61-2025-Feb-03 (25 - 19)
PLAYER_NUM,PLAYER_NAME,GAMES_PLAYED,POINTS_SCORED_ON_SERVE,PT_SCORE_PERCENT,ACES,SERVE_ERRORS,SERVE_ERROR_PERCENT,SERVE_NET_POINTS,PASS_RATING,PASS_ATTEMPTS,SERVE_RCV_ERRORS,COMBINED_KILLS,COMBINED_KILL_ERRORS,ATTACK_NET_POINTS,HITTING_EFFICIENCY,COMBINED_KILL_PERCENT,HITS_STILL_IN_PLAY,COMBINED_KILL_ATTEMPTS,ASSISTS,BALL_HANDLING,SETTING_ERRORS,BLOCKS,BLOCK_ERRORS,NET_BLOCKS,DIG_ERRORS,DIGS,DIG_ERROR_PERCENT,FAULTS
1,Lasse Nielsen,1,2,66.7%,0,1,33.3%,-1,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0.0%,1
6,Boerme,1,1,33.3%,0,1,33.3%,-1,2.33,3,0,4,1,3,0.333,44.4%,4,9,0,0,0,0,0,0,0,2,0.0%,0
7,Bo,1,2,50.0%,1,1,25.0%,0,,0,0,1,0,1,1.000,100.0%,0,1,0,0,0,1,0,1,0,0,,1
9,Soeren,1,0,,0,0,,0,,0,0,0,0,0,0.000,0.0%,2,2,0,0,0,1,0,1,0,1,0.0%,0
12,Vestbjerg,1,6,85.7%,0,0,0.0%,0,1.93,7,0,2,1,1,0.200,40.0%,2,5,0,0,0,0,1,-1,0,2,0.0%,0
13,Gustav,1,0,0.0%,0,0,0.0%,0,,0,0,1,3,-2,-0.500,25.0%,0,4,0,0,0,2,0,2,0,1,0.0%,1
14,Mads Q,1,3,60.0%,1,1,20.0%,0,,0,0,0,0,0,,,0,0,9,0,0,2,0,2,0,3,0.0%,1
15,Martin,1,0,0.0%,0,0,0.0%,0,,0,0,3,2,1,0.143,42.9%,2,7,1,0,0,1,0,1,1,1,50.0%,0
16,Alex,1,0,,0,0,,0,2.14,7,0,0,0,0,,,0,0,1,0,0,0,0,0,1,1,50.0%,0
,(team),1,0,,0,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0

MATCH: Bulowsvejshallen-KV61-2025-Feb-03
PLAYER_NUM,PLAYER_NAME,GAMES_PLAYED,POINTS_SCORED_ON_SERVE,PT_SCORE_PERCENT,ACES,SERVE_ERRORS,SERVE_ERROR_PERCENT,SERVE_NET_POINTS,PASS_RATING,PASS_ATTEMPTS,SERVE_RCV_ERRORS,COMBINED_KILLS,COMBINED_KILL_ERRORS,ATTACK_NET_POINTS,HITTING_EFFICIENCY,COMBINED_KILL_PERCENT,HITS_STILL_IN_PLAY,COMBINED_KILL_ATTEMPTS,ASSISTS,BALL_HANDLING,SETTING_ERRORS,BLOCKS,BLOCK_ERRORS,NET_BLOCKS,DIG_ERRORS,DIGS,DIG_ERROR_PERCENT,FAULTS
1,Lasse Nielsen,3,4,44.4%,0,2,22.2%,-2,,0,0,0,0,0,,,0,0,11,0,0,0,0,0,0,8,0.0%,1
3,Kristian Krag,1,1,33.3%,0,0,0.0%,0,1.00,1,0,1,0,1,0.500,50.0%,1,2,0,0,0,0,1,-1,0,1,0.0%,0
6,Boerme,2,2,33.3%,0,3,50.0%,-3,2.33,6,0,7,4,3,0.158,36.8%,8,19,0,0,0,0,0,0,0,2,0.0%,0
7,Bo,2,6,60.0%,2,2,20.0%,0,,0,0,1,2,-1,-0.200,20.0%,2,5,1,0,0,1,1,0,0,0,,1
9,Soeren,3,1,50.0%,0,0,0.0%,0,,0,0,1,0,1,0.200,20.0%,4,5,0,0,0,1,1,0,0,4,0.0%,0
10,Frederik,1,6,75.0%,1,0,0.0%,1,1.14,7,2,1,1,0,0.000,25.0%,2,4,0,0,0,0,0,0,0,2,0.0%,1
12,Vestbjerg,3,7,58.3%,0,0,0.0%,0,1.56,18,2,6,1,5,0.313,37.5%,9,16,1,0,0,0,2,-2,1,4,20.0%,0
13,Gustav,3,5,55.6%,1,0,0.0%,1,1.00,1,0,3,3,0,0.000,42.9%,1,7,0,1,0,4,0,4,1,2,33.3%,2
14,Mads Q,3,7,58.3%,1,1,8.3%,0,,0,0,0,0,0,,,0,0,14,0,0,2,1,1,2,4,33.3%,1
15,Martin,3,0,0.0%,0,1,50.0%,-1,,0,0,10,5,5,0.238,47.6%,6,21,1,0,0,5,1,4,1,2,33.3%,1
16,Alex,3,0,,0,0,,0,1.86,14,1,0,0,0,,,0,0,2,0,0,0,0,0,4,5,44.4%,0
,(team),3,0,,0,0,,0,0.00,2,2,1,0,1,1.000,100.0%,0,1,0,0,0,0,0,0,0,0,,0

GAME1: Bulowsvejshallen-TeamKoge-2025-Jan-30 (25 - 16)
PLAYER_NUM,PLAYER_NAME,GAMES_PLAYED,POINTS_SCORED_ON_SERVE,PT_SCORE_PERCENT,ACES,SERVE_ERRORS,SERVE_ERROR_PERCENT,SERVE_NET_POINTS,PASS_RATING,PASS_ATTEMPTS,SERVE_RCV_ERRORS,COMBINED_KILLS,COMBINED_KILL_ERRORS,ATTACK_NET_POINTS,HITTING_EFFICIENCY,COMBINED_KILL_PERCENT,HITS_STILL_IN_PLAY,COMBINED_KILL_ATTEMPTS,ASSISTS,BALL_HANDLING,SETTING_ERRORS,BLOCKS,BLOCK_ERRORS,NET_BLOCKS,DIG_ERRORS,DIGS,DIG_ERROR_PERCENT,FAULTS
1,Lasse Nielsen,1,0,0.0%,0,2,66.7%,-2,,0,0,0,0,0,0.000,0.0%,2,2,9,0,0,2,0,2,0,1,0.0%,1
3,Kristian Krag,1,0,0.0%,0,1,50.0%,-1,3.00,1,0,1,0,1,0.333,33.3%,2,3,0,0,0,0,0,0,0,0,,1
4,Andreas Christensen,1,1,33.3%,0,0,0.0%,0,,0,0,0,0,0,0.000,0.0%,1,1,0,0,0,2,1,1,1,0,100.0%,0
8,Mikkel,1,1,50.0%,0,0,0.0%,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,2,33.3%,0
11,Nicola,1,5,71.4%,1,0,0.0%,1,2.00,5,0,1,1,0,0.000,20.0%,3,5,0,0,0,0,0,0,0,5,0.0%,0
12,Vestbjerg,1,1,50.0%,0,1,50.0%,-1,1.00,2,0,4,0,4,0.444,44.4%,5,9,1,0,0,1,1,0,0,0,,0
15,Martin,1,3,60.0%,0,1,20.0%,-1,,0,0,5,1,4,0.444,55.6%,3,9,0,0,0,1,1,0,0,3,0.0%,0
16,Alex,1,0,,0,0,,0,1.50,4,1,0,0,0,,,0,0,1,0,0,0,0,0,1,5,16.7%,0
,(team),1,0,,0,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0

GAME2: Bulowsvejshallen-TeamKoge-2025-Jan-30 (25 - 19)
PLAYER_NUM,PLAYER_NAME,GAMES_PLAYED,POINTS_SCORED_ON_SERVE,PT_SCORE_PERCENT,ACES,SERVE_ERRORS,SERVE_ERROR_PERCENT,SERVE_NET_POINTS,PASS_RATING,PASS_ATTEMPTS,SERVE_RCV_ERRORS,COMBINED_KILLS,COMBINED_KILL_ERRORS,ATTACK_NET_POINTS,HITTING_EFFICIENCY,COMBINED_KILL_PERCENT,HITS_STILL_IN_PLAY,COMBINED_KILL_ATTEMPTS,ASSISTS,BALL_HANDLING,SETTING_ERRORS,BLOCKS,BLOCK_ERRORS,NET_BLOCKS,DIG_ERRORS,DIGS,DIG_ERROR_PERCENT,FAULTS
1,Lasse Nielsen,1,2,50.0%,0,1,25.0%,-1,,0,0,1,0,1,1.000,100.0%,0,1,9,0,0,1,0,1,1,4,20.0%,0
2,Nico Lang,1,0,0.0%,0,1,100.0%,-1,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0
4,Andreas Christensen,1,2,50.0%,1,1,25.0%,0,,0,0,1,0,1,1.000,100.0%,0,1,0,0,0,1,1,0,0,0,,0
7,Bo,1,3,60.0%,1,1,20.0%,0,,0,0,1,0,1,1.000,100.0%,0,1,0,0,0,0,0,0,0,2,0.0%,1
8,Mikkel,1,6,75.0%,1,0,0.0%,1,1.25,4,1,2,2,0,0.000,33.3%,2,6,0,0,0,0,0,0,0,1,0.0%,0
11,Nicola,1,0,0.0%,0,0,0.0%,0,1.75,4,1,2,1,1,0.143,28.6%,4,7,0,0,0,1,1,0,0,0,,0
15,Martin,1,0,0.0%,0,0,0.0%,0,,0,0,3,1,2,0.250,37.5%,4,8,0,0,0,0,2,-2,1,3,25.0%,0
16,Alex,1,0,,0,0,,0,1.86,7,0,0,0,0,,,0,0,0,0,0,0,0,0,1,3,25.0%,0
,(team),1,0,,0,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0

GAME3: Bulowsvejshallen-TeamKoge-2025-Jan-30 (25 - 20)
PLAYER_NUM,PLAYER_NAME,GAMES_PLAYED,POINTS_SCORED_ON_SERVE,PT_SCORE_PERCENT,ACES,SERVE_ERRORS,SERVE_ERROR_PERCENT,SERVE_NET_POINTS,PASS_RATING,PASS_ATTEMPTS,SERVE_RCV_ERRORS,COMBINED_KILLS,COMBINED_KILL_ERRORS,ATTACK_NET_POINTS,HITTING_EFFICIENCY,COMBINED_KILL_PERCENT,HITS_STILL_IN_PLAY,COMBINED_KILL_ATTEMPTS,ASSISTS,BALL_HANDLING,SETTING_ERRORS,BLOCKS,BLOCK_ERRORS,NET_BLOCKS,DIG_ERRORS,DIGS,DIG_ERROR_PERCENT,FAULTS
1,Lasse Nielsen,1,4,66.7%,1,0,0.0%,1,,0,0,0,0,0,,,0,0,10,0,1,0,1,-1,2,0,100.0%,0
4,Andreas Christensen,1,0,0.0%,0,0,0.0%,0,,0,0,5,0,5,1.000,100.0%,0,5,1,0,0,0,0,0,0,1,0.0%,0
7,Bo,1,2,50.0%,0,1,25.0%,-1,,0,0,2,0,2,0.667,66.7%,1,3,1,0,0,0,0,0,0,1,0.0%,0
8,Mikkel,1,1,33.3%,0,1,33.3%,-1,2.00,6,0,2,1,1,0.250,50.0%,1,4,0,0,0,0,0,0,0,2,0.0%,0
