,Player_Name,Games_Played,Points_Played,Got_Aced/Game,Passes/Game,Perfect_Passes/Game,Pass_Rating,Total_Pass_Error_%,3-pass_Percent,Pass_Attempts,1-pass,2-pass,3-pass,Over_the_Net_Pass,Got_Aced,Total_Pass_Errors,First_Ball_Side_Out_%,,team1,team2,kampnr,Serve_Attempts,Serve_%,Serve_Rating,1-Serve,2-Serve,3-Serve,Aces,Serve_Errors,Points_Lost_on_Serve,Points_Won_on_Serve,Serve_Net_Points,Point_Scoring_%,Serve_Error_%,Ace_%,Aces/Game,Serve_Attempts/Game,Serve_Errors/Game,Serve_Net_Points/Game,Errors:_Out,Errors:_Into_Net,Earned/Game,Errors/Game,Faults/Game,Total/Game,Plus/Minus_Total,Plus/Minus_Net_Total,Total_Earned,Total_Errors,Total_Faults,Total_Earned_(them),Total_Errors_(them),Total_Faults_(them),Block_Errors/Game,Blocks_Still_in_Play/Game,Blocks/Game,Block_Assists,Block_Errors,Block_Solos,Blocks_Still_in_Play,Blocks,Net_Blocks,Block_%,Block_Error_%,Dig_Errors/Game,Dig_Attempts/Game,Digs/Game,Digs,Dig_Attempts,Dig_Errors,Dig_Error_%,Dig_%,Kill_to_Dig_%,Attack_Attempt_to_Dig_%,Kills/Game,Attack_Errors/Game,Attack_Net_Points/Game,Hitting_Efficiency,Kill_%,Attack_Error_%,Attack_Attempts,Attack_Errors,Kills,Errors:_Blocked,season,hjemme,ude,spillested,played,resultat,result_for_frb,date,match_name,opponent,Points_Won_on_Serve_%
1,Bo, 5, 47,0.2,0.0,0.0,0.0, 100.0%, 0.0%,1.0,0.0,0.0,0.0,0.0,1.0,1.0, -, ,gev,frb,141063,12.0, 83.3%, 1.55,2.0,6.0,1.0,0.0,2.0,7.0,5.0,-2.0, 41.7%, 16.7%, 0.0%,0.0,2.4,0.4,-0.4,0.0,2.0,1.2,1.2,0.2,0.8,4.0,4.0,11.0,6.0,1.0,0.0,0.0,0.0,0.2,0.4,1.2,6.0,1.0,0.0,2.0,6.0,5.0, 66.7%, 11.1%,0.2,0.4,0.2,1.0,2.0,1.0, 50.0%, 50.0%, 0.0%, 100.0%,1.0,0.2,0.8, 0.308, 38.5%, 7.7%,13.0,1.0,5.0,0.0,2024/2025,Gentofte Volley.2,Frederiksberg Volley,Kildeskovshal 1 1,yes,3 - 2,lost,2024-09-29,gv2-frb,Gentofte Volley.2,41.66666666666667
11,Bo, 2, 25,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,frb,k61,141067,10.0, 80.0%, 2.10,1.0,3.0,2.0,2.0,2.0,4.0,6.0,0.0, 60.0%, 20.0%, 20.0%,1.0,5.0,1.0,0.0,0.0,2.0,1.5,2.5,0.5,-1.0,-2.0,-2.0,4.0,5.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.0, 33.3%, 33.3%,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -, -,0.5,1.0,-0.5, -0.200, 20.0%, 40.0%,5.0,2.0,1.0,2.0,2024/2025,Frederiksberg Volley,KV 61,Bülowsvejhallen 1,yes,3 - 0,won,2024-10-06,frb-kv ,KV 61,60.0
22,Bo, 3, 27,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,fhv,frb,141084,9.0, 100.0%, 2.22,1.0,6.0,1.0,1.0,0.0,7.0,2.0,1.0, 22.2%, 0.0%, 11.1%,0.3,3.0,0.0,0.3,0.0,0.0,0.3,1.3,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.7,0.3,1.0,3.0,2.0,0.0,1.0,3.0,1.0, 50.0%, 33.3%,0.0,0.3,0.3,1.0,1.0,0.0, 0.0%, 100.0%, 100.0%, 100.0%,0.0,0.7,-0.7, -1.000, 0.0%, 100.0%,2.0,2.0,0.0,1.0,2024/2025,Frederiksberg Volley,Farum-Holte,Bülowsvejhallen 1,yes,0 - 3,lost,2025-02-22,frb-fah,Farum-Holte,22.22222222222222
33,Bo, 2, 25,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,frb,tkv,141089,9.0, 77.8%, 2.00,0.0,4.0,2.0,1.0,2.0,4.0,5.0,-1.0, 55.6%, 22.2%, 11.1%,0.5,4.5,1.0,-0.5,2.0,0.0,2.0,1.5,0.5,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,1.5,1.5,3.0,3.0,0.0, 0.0%, 100.0%, 0.0%, 66.7%,1.5,0.0,1.5, 0.750, 75.0%, 0.0%,4.0,0.0,3.0,0.0,2024/2025,Frederiksberg Volley,Team Køge,Bülowsvejhallen 1,yes,3 - 0,won,2024-11-02,frb-tkv,Team Køge,55.55555555555556
42,Bo, 4, 17,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,frb,hvk,141099,7.0, 85.7%, 2.14,0.0,3.0,3.0,0.0,1.0,6.0,1.0,-1.0, 14.3%, 14.3%, 0.0%,0.0,1.8,0.3,-0.3,0.0,1.0,0.3,0.8,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,0.0,0.0,2.0,2.0, 100.0%, 0.0%,0.5,0.5,0.0,0.0,2.0,2.0, 100.0%, 0.0%, -, -,0.3,0.0,0.3, 0.333, 33.3%, 0.0%,3.0,0.0,1.0,0.0,2024/2025,Frederiksberg Volley,Hvidovre VK.2,Bülowsvejhallen 1,yes,2 - 3,lost,2024-11-23,frb-hv2,Hvidovre VK.2,14.285714285714285
65,Bo, 5, 33,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,avk,frb,141119,9.0, 88.9%, 1.67,2.0,5.0,1.0,0.0,1.0,8.0,1.0,-1.0, 11.1%, 11.1%, 0.0%,0.0,1.8,0.2,-0.2,1.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.4,1.2,0.4,0.0,2.0,2.0,6.0,2.0,0.0, 20.0%, 20.0%,0.2,0.6,0.4,2.0,3.0,1.0, 33.3%, 66.7%, 50.0%, 100.0%,0.4,0.0,0.4, 0.500, 50.0%, 0.0%,4.0,0.0,2.0,0.0,2024/2025,Amager Volley.2,Frederiksberg Volley,Sundbyhal 1 1,yes,3 - 2,lost,2025-01-12,avk-frb,Amager Volley.2,11.11111111111111
76,Bo, 4, 15,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,frb,vli,141123,7.0, 85.7%, 2.00,1.0,2.0,3.0,0.0,1.0,4.0,3.0,-1.0, 42.9%, 14.3%, 0.0%,0.0,1.8,0.3,-0.3,1.0,0.0,0.0,0.5,0.0,-0.3,-1.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,1.0, 100.0%, 0.0%,0.3,0.5,0.3,1.0,2.0,1.0, 50.0%, 50.0%, 100.0%, 100.0%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,VLI,Bülowsvejhallen 1,yes,3 - 2,won,2025-01-18,frb-vli,VLI,42.857142857142854
93,Bo, 4, 51,0.0,0.3,0.0,2.0, 0.0%, 0.0%,1.0,0.0,1.0,0.0,0.0,0.0,0.0, 0.0%, ,frb,dtu,141139,18.0, 88.9%, 1.94,4.0,8.0,1.0,3.0,2.0,9.0,9.0,1.0, 50.0%, 11.1%, 16.7%,0.8,4.5,0.5,0.3,0.0,2.0,2.0,1.8,0.5,0.5,2.0,2.0,11.0,7.0,2.0,0.0,0.0,0.0,0.5,0.5,1.5,5.0,2.0,1.0,2.0,6.0,4.0, 60.0%, 20.0%,0.3,1.8,1.5,6.0,7.0,1.0, 14.3%, 85.7%, 33.3%, 66.7%,0.5,0.5,0.0, 0.000, 33.3%, 33.3%,6.0,2.0,2.0,2.0,2024/2025,Frederiksberg Volley,DTU Volley,Bülowsvejhallen 1,yes,3 - 1,won,2025-01-25,frb-dtu,DTU Volley,50.0
121,Bo, 2, 4,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,avk,frb,144591,2.0, 100.0%, 1.00,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0, 0.0%, 0.0%, 0.0%,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -, -,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2025/2026,Amager Volley.2,Frederiksberg Volley,Sundbyhal 1 1,yes,3 - 0,lost,2025-09-27,avk-frb,Amager Volley.2,0.0
137,Bo, 2, 26,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,frb,gen,144610,13.0, 100.0%, 2.69,1.0,5.0,4.0,3.0,0.0,4.0,9.0,3.0, 69.2%, 0.0%, 23.1%,1.5,6.5,0.0,1.5,0.0,0.0,2.0,0.5,0.0,2.0,4.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0, 100.0%, 0.0%,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -, -,0.5,0.5,0.0, 0.000, 50.0%, 50.0%,2.0,1.0,1.0,0.0,2025/2026,Frederiksberg Volley,Gentofte Volley.2,Bülowsvejhallen 1,yes,3 - 1,won,2025-11-08,frb-gv2,Gentofte Volley.2,69.23076923076923
149,Bo, 3, 20,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0%, ,hvk,frb,147434,8.0, 75.0%, 1.88,1.0,1.0,4.0,0.0,2.0,5.0,3.0,-2.0, 37.5%, 25.0%, 0.0%,0.0,2.7,0.7,-0.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0, 0.0%, 0.0%,0.0,0.3,0.3,1.0,1.0,0.0, 0.0%, 100.0%, 100.0%, 100.0%,1.0,0.3,0.7, 0.400, 60.0%, 20.0%,5.0,1.0,3.0,0.0,2025/2026,Hvidovre VK.2,Frederiksberg Volley,Frihedens Idrætscenter 1,yes,0 - 3,won,2025-10-12,hv2-frb,Hvidovre VK.2,37.5
157,Bo, 1, 6,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,frb,odv,147577,3.0, 33.3%, 1.00,0.0,0.0,1.0,0.0,2.0,2.0,1.0,-2.0, 33.3%, 66.7%, 0.0%,0.0,3.0,2.0,-2.0,1.0,1.0,0.0,2.0,1.0,-3.0,-3.0,-3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -, -,0.0,0.0,0.0, 0.000, 0.0%, 0.0%,1.0,0.0,0.0,0.0,2025/2026,Frederiksberg Volley,Odense Volleyball,Bülowsvejhallen 1,yes,0 - 3,lost,2025-11-01,frb-ode,Odense Volleyball,33.33333333333333
2,Boerme, 5, 95,0.2,3.4,1.6,1.94, 5.6%, 44.4%,18.0,4.0,3.0,8.0,2.0,1.0,1.0, 22.2%, ,gev,frb,141063,19.0, 78.9%, 1.74,3.0,6.0,6.0,0.0,4.0,11.0,8.0,-4.0, 42.1%, 21.1%, 0.0%,0.0,3.8,0.8,-0.8,1.0,3.0,2.2,3.0,0.0,-0.6,-3.0,-3.0,12.0,15.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,1.0,2.0,1.0,0.0,2.0,0.0, 50.0%, 50.0%,0.6,3.0,2.4,12.0,15.0,3.0, 20.0%, 80.0%, 25.0%, 75.0%,2.0,0.8,1.2, 0.207, 34.5%, 13.8%,29.0,4.0,10.0,1.0,2024/2025,Gentofte Volley.2,Frederiksberg Volley,Kildeskovshal 1 1,yes,3 - 2,lost,2024-09-29,gv2-frb,Gentofte Volley.2,42.10526315789473
12,Boerme, 2, 32,0.0,3.0,1.0,2.33, 0.0%, 33.3%,6.0,0.0,4.0,2.0,0.0,0.0,0.0, 57.1%, ,frb,k61,141067,6.0, 50.0%, 1.00,1.0,1.0,1.0,0.0,3.0,4.0,2.0,-3.0, 33.3%, 50.0%, 0.0%,0.0,3.0,1.5,-1.5,2.0,1.0,3.5,3.5,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,1.0,1.0,2.0,2.0,0.0, 0.0%, 100.0%, 50.0%, 50.0%,3.5,2.0,1.5, 0.158, 36.8%, 21.1%,19.0,4.0,7.0,0.0,2024/2025,Frederiksberg Volley,KV 61,Bülowsvejhallen 1,yes,3 - 0,won,2024-10-06,frb-kv ,KV 61,33.33333333333333
23,Boerme, 1, 20,1.0,6.0,2.0,1.5, 14.3%, 28.6%,7.0,2.0,1.0,2.0,1.0,1.0,1.0, 16.7%, ,fhv,frb,141084,2.0, 50.0%, 1.00,0.0,1.0,0.0,0.0,1.0,2.0,0.0,-1.0, 0.0%, 50.0%, 0.0%,0.0,2.0,1.0,-1.0,1.0,0.0,2.0,7.0,0.0,-5.0,-5.0,-5.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-2.0, 0.0%, 100.0%,1.0,2.0,1.0,1.0,2.0,1.0, 50.0%, 50.0%, 100.0%, 100.0%,2.0,1.0,1.0, 0.125, 25.0%, 12.5%,8.0,1.0,2.0,0.0,2024/2025,Frederiksberg Volley,Farum-Holte,Bülowsvejhallen 1,yes,0 - 3,lost,2025-02-22,frb-fah,Farum-Holte,0.0
54,Boerme, 4, 32,0.3,1.3,0.0,1.17, 16.7%, 0.0%,6.0,3.0,2.0,0.0,0.0,1.0,1.0, 60.0%, ,frb,gev,141108,9.0, 77.8%, 1.44,3.0,2.0,2.0,0.0,2.0,6.0,3.0,-2.0, 33.3%, 22.2%, 0.0%,0.0,2.3,0.5,-0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,0.5,0.5,2.0,2.0,0.0, 0.0%, 100.0%, 0.0%, 100.0%,1.0,0.3,0.8, 0.273, 36.4%, 9.1%,11.0,1.0,4.0,1.0,2024/2025,Frederiksberg Volley,Gentofte Volley.2,Bülowsvejhallen 1,yes,3 - 1,won,2024-12-08,frb-gv2,Gentofte Volley.2,33.33333333333333
66,Boerme, 5, 56,0.0,4.4,2.0,2.23, 0.0%, 45.5%,22.0,2.0,8.0,10.0,2.0,0.0,0.0, 30.4%, ,avk,frb,141119,9.0, 55.6%, 1.44,0.0,3.0,1.0,1.0,4.0,7.0,2.0,-3.0, 22.2%, 44.4%, 11.1%,0.2,1.8,0.8,-0.6,2.0,2.0,2.8,1.8,0.0,1.0,5.0,5.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,2.0,0.0,2.0,2.0, 100.0%, 0.0%,0.0,0.8,0.8,4.0,4.0,0.0, 0.0%, 100.0%, 25.0%, 75.0%,2.2,1.0,1.2, 0.250, 45.8%, 20.8%,24.0,5.0,11.0,1.0,2024/2025,Amager Volley.2,Frederiksberg Volley,Sundbyhal 1 1,yes,3 - 2,lost,2025-01-12,avk-frb,Amager Volley.2,22.22222222222222
77,Boerme, 4, 55,0.8,4.8,1.0,1.77, 13.6%, 18.2%,22.0,3.0,12.0,4.0,0.0,3.0,3.0, 33.3%, ,frb,vli,141123,7.0, 42.9%, 1.14,0.0,1.0,2.0,0.0,4.0,4.0,3.0,-4.0, 42.9%, 57.1%, 0.0%,0.0,1.8,1.0,-1.0,2.0,2.0,2.8,3.3,0.0,-0.5,-2.0,-2.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,1.0, 100.0%, 0.0%,0.3,1.5,1.3,5.0,6.0,1.0, 16.7%, 83.3%, 0.0%, 80.0%,2.5,1.3,1.3, 0.208, 41.7%, 20.8%,24.0,5.0,10.0,2.0,2024/2025,Frederiksberg Volley,VLI,Bülowsvejhallen 1,yes,3 - 2,won,2025-01-18,frb-vli,VLI,42.857142857142854
94,Boerme, 1, 6,1.0,2.0,0.0,0.67, 33.3%, 0.0%,3.0,2.0,0.0,0.0,0.0,1.0,1.0, 0.0%, ,frb,dtu,141139,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0, 0.0%, 100.0%,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -, -,2.0,0.0,2.0, 0.667, 66.7%, 0.0%,3.0,0.0,2.0,0.0,2024/2025,Frederiksberg Volley,DTU Volley,Bülowsvejhallen 1,yes,3 - 1,won,2025-01-25,frb-dtu,DTU Volley,
138,Boerme, 3, 54,0.3,5.3,1.7,1.71, 5.9%, 29.4%,17.0,5.0,4.0,5.0,2.0,1.0,1.0, 56.3%, ,frb,gen,144610,14.0, 71.4%, 1.14,5.0,4.0,1.0,0.0,4.0,6.0,8.0,-4.0, 57.1%, 28.6%, 0.0%,0.0,4.7,1.3,-1.3,2.0,2.0,1.3,2.3,0.0,-1.0,-3.0,-3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0, 0.0%, 0.0%,0.0,1.7,1.7,5.0,5.0,0.0, 0.0%, 100.0%, 0.0%, 100.0%,1.3,0.7,0.7, 0.200, 40.0%, 20.0%,10.0,2.0,4.0,1.0,2025/2026,Frederiksberg Volley,Gentofte Volley.2,Bülowsvejhallen 1,yes,3 - 1,won,2025-11-08,frb-gv2,Gentofte Volley.2,57.14285714285714
3,Bosse, 2, 3,0.0,0.5,0.0,2.0, 0.0%, 0.0%,1.0,0.0,1.0,0.0,0.0,0.0,0.0, 0.0%, ,gev,frb,141063,1.0, 100.0%, 2.00,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0, 0.0%, 0.0%, 0.0%,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -, -,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Gentofte Volley.2,Frederiksberg Volley,Kildeskovshal 1 1,yes,3 - 2,lost,2024-09-29,gv2-frb,Gentofte Volley.2,0.0
24,Bosse, 2, 25,0.0,4.0,1.5,1.88, 0.0%, 37.5%,8.0,4.0,1.0,3.0,0.0,0.0,0.0, 9.1%, ,fhv,frb,141084,4.0, 50.0%, 0.75,1.0,1.0,0.0,0.0,2.0,3.0,1.0,-2.0, 25.0%, 50.0%, 0.0%,0.0,2.0,1.0,-1.0,2.0,0.0,1.0,3.5,0.0,-2.5,-5.0,-5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,1.0,1.0, 50.0%, 0.0%,0.5,1.0,0.5,1.0,2.0,1.0, 50.0%, 50.0%, 0.0%, 100.0%,0.5,1.5,-1.0, -0.286, 14.3%, 42.9%,7.0,3.0,1.0,1.0,2024/2025,Frederiksberg Volley,Farum-Holte,Bülowsvejhallen 1,yes,0 - 3,lost,2025-02-22,frb-fah,Farum-Holte,25.0
43,Bosse, 4, 37,0.5,2.0,0.3,1.4, 20.0%, 10.0%,10.0,3.0,4.0,1.0,0.0,2.0,2.0, 37.5%, ,frb,hvk,141099,13.0, 92.3%, 2.54,1.0,3.0,6.0,2.0,1.0,5.0,8.0,1.0, 61.5%, 7.7%, 15.4%,0.5,3.3,0.3,0.3,0.0,1.0,0.8,1.0,0.0,-0.3,-1.0,-1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.3,0.5,0.3,1.0,2.0,1.0, 50.0%, 50.0%, 0.0%, 100.0%,0.3,0.0,0.3, 0.200, 20.0%, 0.0%,5.0,0.0,1.0,0.0,2024/2025,Frederiksberg Volley,Hvidovre VK.2,Bülowsvejhallen 1,yes,2 - 3,lost,2024-11-23,frb-hv2,Hvidovre VK.2,61.53846153846154
55,Bosse, 2, 4,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,frb,gev,141108,2.0, 100.0%, 2.00,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0, 0.0%, 0.0%, 0.0%,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -, -,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,Gentofte Volley.2,Bülowsvejhallen 1,yes,3 - 1,won,2024-12-08,frb-gv2,Gentofte Volley.2,0.0
78,Bosse, 3, 11,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,frb,vli,141123,7.0, 100.0%, 2.86,1.0,1.0,3.0,2.0,0.0,3.0,4.0,2.0, 57.1%, 0.0%, 28.6%,0.7,2.3,0.0,0.7,0.0,0.0,0.7,0.3,0.0,0.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.3,0.7,0.3,1.0,2.0,1.0, 50.0%, 50.0%, 0.0%, 100.0%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,VLI,Bülowsvejhallen 1,yes,3 - 2,won,2025-01-18,frb-vli,VLI,57.14285714285714
85,Bosse, 5, 69,0.0,0.4,0.2,2.0, 0.0%, 50.0%,2.0,1.0,0.0,1.0,0.0,0.0,0.0, 50.0%, ,tkv,frb,141134,23.0, 95.7%, 2.43,3.0,7.0,9.0,3.0,1.0,11.0,12.0,2.0, 52.2%, 4.3%, 13.0%,0.6,4.6,0.2,0.4,0.0,1.0,3.0,0.8,0.0,2.4,12.0,12.0,16.0,4.0,0.0,0.0,0.0,0.0,0.2,0.2,1.2,3.0,1.0,3.0,1.0,6.0,5.0, 75.0%, 12.5%,0.0,0.8,0.8,4.0,4.0,0.0, 0.0%, 100.0%, 25.0%, 100.0%,1.4,0.4,1.0, 0.333, 46.7%, 13.3%,15.0,2.0,7.0,0.0,2024/2025,Team Køge,Frederiksberg Volley,Spar Nord Arena 1,yes,2 - 3,won,2025-03-14,tkv-frb,Team Køge,52.17391304347826
95,Bosse, 4, 7,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,frb,dtu,141139,4.0, 75.0%, 1.25,1.0,2.0,0.0,0.0,1.0,3.0,1.0,-1.0, 25.0%, 25.0%, 0.0%,0.0,1.0,0.3,-0.3,0.0,1.0,0.0,0.3,0.0,-0.3,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -, -,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,DTU Volley,Bülowsvejhallen 1,yes,3 - 1,won,2025-01-25,frb-dtu,DTU Volley,25.0
103,Bosse, 3, 8,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,hvk,frb,141144,5.0, 80.0%, 1.40,3.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0, 40.0%, 20.0%, 20.0%,0.3,1.7,0.3,0.0,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -, -,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Hvidovre VK.2,Frederiksberg Volley,Frihedens Idrætscenter 1,yes,0 - 3,won,2025-03-29,hv2-frb,Hvidovre VK.2,40.0
122,Bosse, 3, 34,0.3,7.0,1.3,1.8, 4.5%, 18.2%,22.0,5.0,11.0,4.0,1.0,1.0,1.0, 38.1%, ,avk,frb,144591,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,-0.3,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,3.3,3.3,10.0,10.0,0.0, 0.0%, 100.0%, 30.0%, 80.0%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2025/2026,Amager Volley.2,Frederiksberg Volley,Sundbyhal 1 1,yes,3 - 0,lost,2025-09-27,avk-frb,Amager Volley.2,
129,Bosse, 4, 20,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,hvk,frb,144595,10.0, 100.0%, 2.00,3.0,4.0,3.0,0.0,0.0,3.0,7.0,0.0, 70.0%, 0.0%, 0.0%,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,0.3,0.3,1.0,1.0,0.0, 0.0%, 100.0%, 0.0%, 0.0%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2025/2026,Hvidovre VK.2,Frederiksberg Volley,Frihedens Idrætscenter 1,yes,2 - 3,won,2025-10-04,hv2-frb,Hvidovre VK.2,70.0
158,Bosse, 3, 8,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,frb,odv,147577,5.0, 80.0%, 1.60,2.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0, 40.0%, 20.0%, 20.0%,0.3,1.7,0.3,0.0,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -, -,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2025/2026,Frederiksberg Volley,Odense Volleyball,Bülowsvejhallen 1,yes,0 - 3,lost,2025-11-01,frb-ode,Odense Volleyball,40.0
